,Country,Year,Grain,Direction
26,Canada,2016,corn,import
58,Argentina,2016,corn,import
90,Brazil,2016,corn,import
122,Mexico,2016,corn,import
154,Chile,2016,corn,import
186,Turkey,2016,corn,import
218,Peru,2016,corn,import
250,European Union,2016,corn,import
282,China,2016,corn,import
314,Colombia,2016,corn,import
346,Sub-Saharan Africa,2016,corn,import
378,Vietnam,2016,corn,import
410,Bolivia,2016,corn,import
442,Ecuador,2016,corn,import
474,Pakistan,2016,corn,import
506,Uruguay,2016,corn,import
538,Australia,2016,corn,import
570,Dominican Republic,2016,corn,import
602,Egypt,2016,corn,import
634,Haiti,2016,corn,import
666,Honduras,2016,corn,import
698,India,2016,corn,import
730,Indonesia,2016,corn,import
762,Israel,2016,corn,import
794,Japan,2016,corn,import
826,Other Europe,2016,corn,import
858,Paraguay,2016,corn,import
890,Philippines,2016,corn,import
922,South Korea,2016,corn,import
954,Thailand,2016,corn,import
986,United Arab Emirates,2016,corn,import
1018,Canada,2016,malting barley,import
1051,European Union,2016,malting barley,import
1084,Argentina,2016,malting barley,import
1117,Mexico,2016,malting barley,import
1150,India,2016,malting barley,import
1183,China,2016,malting barley,import
1216,South Korea,2016,malting barley,import
1249,Sub-Saharan Africa,2016,malting barley,import
1282,Thailand,2016,malting barley,import
1315,Uruguay,2016,malting barley,import
1348,Canada,2016,oats,import
1381,European Union,2016,oats,import
1414,Australia,2016,oats,import
1447,Mexico,2016,oats,import
1480,South Korea,2016,oats,import
1513,Chile,2016,oats,import
1546,Japan,2016,oats,import
1579,China,2016,oats,import
1612,Ecuador,2016,oats,import
1645,India,2016,oats,import
1678,Peru,2016,oats,import
1711,Argentina,2016,oats,import
1744,Colombia,2016,oats,import
1777,Israel,2016,oats,import
1810,Jamaica,2016,oats,import
1843,Malaysia,2016,oats,import
1876,Other Europe,2016,oats,import
1909,Paraguay,2016,oats,import
1942,Philippines,2016,oats,import
1975,Sub-Saharan Africa,2016,oats,import
2008,Turkey,2016,oats,import
2041,United Arab Emirates,2016,oats,import
2074,Uruguay,2016,oats,import
2107,Argentina,2016,other barley,import
2139,Mexico,2016,other barley,import
2171,European Union,2016,other barley,import
2203,Canada,2016,other barley,import
2235,China,2016,other barley,import
2267,Chile,2016,other barley,import
2299,Sub-Saharan Africa,2016,other barley,import
2331,Uruguay,2016,other barley,import
2363,India,2016,other barley,import
2395,South Korea,2016,other barley,import
2427,Bolivia,2016,other barley,import
2459,Brazil,2016,other barley,import
2491,Colombia,2016,other barley,import
2523,Dominican Republic,2016,other barley,import
2555,Haiti,2016,other barley,import
2587,Peru,2016,other barley,import
2619,Turkey,2016,other barley,import
2651,Argentina,2016,sorghum,import
2683,Mexico,2016,sorghum,import
2715,European Union,2016,sorghum,import
2747,Canada,2016,sorghum,import
2779,China,2016,sorghum,import
2811,Chile,2016,sorghum,import
2843,Sub-Saharan Africa,2016,sorghum,import
2875,Uruguay,2016,sorghum,import
2907,India,2016,sorghum,import
2939,South Korea,2016,sorghum,import
2971,Bolivia,2016,sorghum,import
3003,Brazil,2016,sorghum,import
3035,Colombia,2016,sorghum,import
3067,Dominican Republic,2016,sorghum,import
3099,Haiti,2016,sorghum,import
3131,Peru,2016,sorghum,import
3163,Turkey,2016,sorghum,import
3195,China,2016,corn,export
3227,Mexico,2016,corn,export
3259,Japan,2016,corn,export
3291,Colombia,2016,corn,export
3323,South Korea,2016,corn,export
3355,Canada,2016,corn,export
3387,Honduras,2016,corn,export
3419,Peru,2016,corn,export
3451,Saudi Arabia,2016,corn,export
3483,Morocco,2016,corn,export
3515,Israel,2016,corn,export
3547,Egypt,2016,corn,export
3579,Dominican Republic,2016,corn,export
3611,Vietnam,2016,corn,export
3643,Jamaica,2016,corn,export
3675,Chile,2016,corn,export
3707,Algeria,2016,corn,export
3739,Indonesia,2016,corn,export
3771,Tunisia,2016,corn,export
3803,Jordan,2016,corn,export
3835,United Arab Emirates,2016,corn,export
3867,Kuwait,2016,corn,export
3899,Ecuador,2016,corn,export
3931,Barbados,2016,corn,export
3963,Malaysia,2016,corn,export
3995,European Union,2016,corn,export
4027,Thailand,2016,corn,export
4059,Pakistan,2016,corn,export
4091,Haiti,2016,corn,export
4123,Philippines,2016,corn,export
4155,Bahamas,2016,corn,export
4187,Argentina,2016,corn,export
4219,Sub-Saharan Africa,2016,corn,export
4251,Turkey,2016,corn,export
4283,Brazil,2016,corn,export
4315,Other Europe,2016,corn,export
4347,Bangladesh,2016,corn,export
4379,India,2016,corn,export
4411,Australia,2016,corn,export
4443,Bermuda,2016,corn,export
4475,Bolivia,2016,corn,export
4507,Iran,2016,corn,export
4539,Paraguay,2016,corn,export
4571,Qatar,2016,corn,export
4603,Sri Lanka,2016,corn,export
4635,Uruguay,2016,corn,export
4667,Canada,2016,malting barley,export
4700,South Korea,2016,malting barley,export
4733,European Union,2016,malting barley,export
4766,Chile,2016,malting barley,export
4799,China,2016,malting barley,export
4832,India,2016,malting barley,export
4865,Peru,2016,malting barley,export
4898,Argentina,2016,malting barley,export
4931,Australia,2016,malting barley,export
4964,Bahamas,2016,malting barley,export
4997,Bermuda,2016,malting barley,export
5030,Brazil,2016,malting barley,export
5063,Colombia,2016,malting barley,export
5096,Dominican Republic,2016,malting barley,export
5129,Ecuador,2016,malting barley,export
5162,Egypt,2016,malting barley,export
5195,Haiti,2016,malting barley,export
5228,Honduras,2016,malting barley,export
5261,Indonesia,2016,malting barley,export
5294,Israel,2016,malting barley,export
5327,Jamaica,2016,malting barley,export
5360,Japan,2016,malting barley,export
5393,Mexico,2016,malting barley,export
5426,Other Europe,2016,malting barley,export
5459,Pakistan,2016,malting barley,export
5492,Philippines,2016,malting barley,export
5525,Saudi Arabia,2016,malting barley,export
5558,Sri Lanka,2016,malting barley,export
5591,Sub-Saharan Africa,2016,malting barley,export
5624,United Arab Emirates,2016,malting barley,export
5657,Uruguay,2016,malting barley,export
5690,China,2016,other barley,export
5722,Sub-Saharan Africa,2016,other barley,export
5754,Mexico,2016,other barley,export
5786,Japan,2016,other barley,export
5818,Canada,2016,other barley,export
5850,Haiti,2016,other barley,export
5882,European Union,2016,other barley,export
5914,South Korea,2016,other barley,export
5946,Bolivia,2016,other barley,export
5978,Uruguay,2016,other barley,export
6010,Argentina,2016,other barley,export
6042,Pakistan,2016,other barley,export
6074,Tunisia,2016,other barley,export
6106,Algeria,2016,other barley,export
6138,Brazil,2016,other barley,export
6170,Australia,2016,other barley,export
6202,Thailand,2016,other barley,export
6234,Bahamas,2016,other barley,export
6266,Bangladesh,2016,other barley,export
6298,Barbados,2016,other barley,export
6330,Chile,2016,other barley,export
6362,Colombia,2016,other barley,export
6394,Dominican Republic,2016,other barley,export
6426,Ecuador,2016,other barley,export
6458,Egypt,2016,other barley,export
6490,Honduras,2016,other barley,export
6522,India,2016,other barley,export
6554,Indonesia,2016,other barley,export
6586,Iran,2016,other barley,export
6618,Israel,2016,other barley,export
6650,Jamaica,2016,other barley,export
6682,Jordan,2016,other barley,export
6714,Malaysia,2016,other barley,export
6746,Morocco,2016,other barley,export
6778,Other Europe,2016,other barley,export
6810,Paraguay,2016,other barley,export
6842,Peru,2016,other barley,export
6874,Philippines,2016,other barley,export
6906,Saudi Arabia,2016,other barley,export
6938,Turkey,2016,other barley,export
6970,United Arab Emirates,2016,other barley,export
7002,Vietnam,2016,other barley,export
7034,China,2016,sorghum,export
7066,Sub-Saharan Africa,2016,sorghum,export
7098,Mexico,2016,sorghum,export
7130,Japan,2016,sorghum,export
7162,Canada,2016,sorghum,export
7194,Haiti,2016,sorghum,export
7226,European Union,2016,sorghum,export
7258,South Korea,2016,sorghum,export
7290,Bolivia,2016,sorghum,export
7322,Uruguay,2016,sorghum,export
7354,Argentina,2016,sorghum,export
7386,Pakistan,2016,sorghum,export
7418,Tunisia,2016,sorghum,export
7450,Algeria,2016,sorghum,export
7482,Brazil,2016,sorghum,export
7514,Australia,2016,sorghum,export
7546,Thailand,2016,sorghum,export
7578,Bahamas,2016,sorghum,export
7610,Bangladesh,2016,sorghum,export
7642,Barbados,2016,sorghum,export
7674,Chile,2016,sorghum,export
7706,Colombia,2016,sorghum,export
7738,Dominican Republic,2016,sorghum,export
7770,Ecuador,2016,sorghum,export
7802,Egypt,2016,sorghum,export
7834,Honduras,2016,sorghum,export
7866,India,2016,sorghum,export
7898,Indonesia,2016,sorghum,export
7930,Iran,2016,sorghum,export
7962,Israel,2016,sorghum,export
7994,Jamaica,2016,sorghum,export
8026,Jordan,2016,sorghum,export
8058,Malaysia,2016,sorghum,export
8090,Morocco,2016,sorghum,export
8122,Other Europe,2016,sorghum,export
8154,Paraguay,2016,sorghum,export
8186,Peru,2016,sorghum,export
8218,Philippines,2016,sorghum,export
8250,Saudi Arabia,2016,sorghum,export
8282,Turkey,2016,sorghum,export
8314,United Arab Emirates,2016,sorghum,export
8346,Vietnam,2016,sorghum,export
